[0.000000] (-) TimerEvent: {}
[0.000416] (-) JobUnselected: {'identifier': 'custom_package'}
[0.000557] (-) JobUnselected: {'identifier': 'demo'}
[0.000581] (-) JobUnselected: {'identifier': 'techman_robot_get_status'}
[0.000713] (-) JobUnselected: {'identifier': 'techman_robot_msgs'}
[0.000760] (-) JobUnselected: {'identifier': 'tm_driver'}
[0.000871] (-) JobUnselected: {'identifier': 'tm_mod_urdf'}
[0.000914] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm12'}
[0.000998] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm12x'}
[0.001180] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm14'}
[0.001259] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm14x'}
[0.001301] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm5-700'}
[0.001323] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm5-900'}
[0.001356] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm5x-700'}
[0.001378] (-) JobUnselected: {'identifier': 'tm_moveit_config_tm5x-900'}
[0.001502] (-) JobUnselected: {'identifier': 'tm_moveit_cpp_demo'}
[0.001521] (-) JobUnselected: {'identifier': 'tm_msgs'}
[0.001596] (-) JobUnselected: {'identifier': 'ui_for_debug_and_demo'}
[0.001636] (tm_description) JobQueued: {'identifier': 'tm_description', 'dependencies': OrderedDict()}
[0.099344] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/collision/tm5-900_arm2_c.stl\n'}
[0.099495] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/collision/tmr_100w_02_c.stl\n'}
[0.099647] (-) TimerEvent: {}
[0.099749] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/collision/tmr_ee_c.stl\n'}
[0.099937] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/collision/tm5-base_c.stl\n'}
[0.100117] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual\n'}
[0.100270] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tmr_100w_02.stl\n'}
[0.100409] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tmr_100w_02.mtl\n'}
[0.100622] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tmr_100w_01.obj\n'}
[0.100786] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tmr_iox.stl\n'}
[0.100872] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tmr_100w_01.stl\n'}
[0.100945] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tmr_400w_01.stl\n'}
[0.101010] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tmr_ee.mtl\n'}
[0.101073] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tmr_400w_01.obj\n'}
[0.101635] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tm5-900_arm1.stl\n'}
[0.101797] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tmr_100w_02.obj\n'}
[0.101884] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tm5-900_arm1.mtl\n'}
[0.102148] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tm5-900_arm2.stl\n'}
[0.102320] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tm5-base.stl\n'}
[0.102462] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tmr_400w_01.mtl\n'}
[0.102571] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tm5-base.mtl\n'}
[0.102699] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tm5-900_arm2.mtl\n'}
[0.102799] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tmr_ee.stl\n'}
[0.102903] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tmr_iox.obj\n'}
[0.103020] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tm5-base.obj\n'}
[0.103136] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tmr_ee.obj\n'}
[0.103254] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tmr_100w_01.mtl\n'}
[0.103359] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tmr_iox.mtl\n'}
[0.103485] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tm5-900_arm1.obj\n'}
[0.103600] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm5-900/visual/tm5-900_arm2.obj\n'}
[0.103704] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm14\n'}
[0.103819] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm14/collision\n'}
[0.103916] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm14/collision/tm14_arm1_c.stl\n'}
[0.104020] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm14/collision/tm14_arm2_c.stl\n'}
[0.104138] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm14/visual\n'}
[0.104242] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm14/visual/tm14_arm2.mtl\n'}
[0.104362] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm14/visual/tm14_arm2.stl\n'}
[0.104458] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm14/visual/tm14_arm1.obj\n'}
[0.104572] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm14/visual/tm14_arm2.obj\n'}
[0.104690] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm14/visual/tm14_arm1.stl\n'}
[0.104795] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/meshes/tm14/visual/tm14_arm1.mtl\n'}
[0.104926] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/urdf\n'}
[0.105043] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/urdf/tm14x-nominal.urdf\n'}
[0.105469] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/urdf/tm12x-nominal.urdf\n'}
[0.105640] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/urdf/tm5-700-nominal.urdf\n'}
[0.106052] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/urdf/tm5x-900-nominal.urdf\n'}
[0.106188] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/urdf/tm5x-700-nominal.urdf\n'}
[0.106422] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/urdf/tm12-nominal.urdf\n'}
[0.106541] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/urdf/tm5-900-nominal.urdf\n'}
[0.106822] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/urdf/tm14-nominal.urdf\n'}
[0.106932] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/urdf/tm5-900.urdf\n'}
[0.107184] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro\n'}
[0.107579] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/tm12x.urdf.xacro\n'}
[0.107690] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/macro.tm12-nominal.urdf.xacro\n'}
[0.107802] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/macro.inertial.xacro\n'}
[0.108177] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/tm5-900.urdf.xacro\n'}
[0.108413] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/macro.tm5-900-nominal.urdf.xacro\n'}
[0.109273] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/tm5x-900.urdf.xacro\n'}
[0.109430] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/tm5-700.urdf.xacro\n'}
[0.110007] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/tm14x.urdf.xacro\n'}
[0.110125] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/macro.tm5x-700-nominal.urdf.xacro\n'}
[0.110237] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/macro.tm5-700-nominal.urdf.xacro\n'}
[0.110463] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/macro.tm12x-nominal.urdf.xacro\n'}
[0.110834] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/macro.materials.xacro\n'}
[0.110949] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/macro.tm5x-900-nominal.urdf.xacro\n'}
[0.111060] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/macro.tm14-nominal.urdf.xacro\n'}
[0.111280] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/tm12.urdf.xacro\n'}
[0.111830] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/macro.gazebo.xacro\n'}
[0.111968] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/tm14.urdf.xacro\n'}
[0.112054] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/macro.tm14x-nominal.urdf.xacro\n'}
[0.112274] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/tm5x-700.urdf.xacro\n'}
[0.112879] (tm_description) StdoutLine: {'line': b'-- Up-to-date: /home/rslomron/tm_custom/install/tm_description/share/tm_description/xacro/macro.transmission.xacro\n'}
[0.113005] (tm_description) CommandEnded: {'returncode': 0}
[0.141470] (tm_description) JobEnded: {'identifier': 'tm_description', 'rc': 0}
[0.142039] (-) EventReactorShutdown: {}
